
OT3530-2;4440.13;.0000;4440.13
OT3534-6;0;.0000;0
OT3536-8;0;.0000;0
OT3590-2;243;.0000;243
OT3592-4;225;.0000;225
A00001-1;10803247.71;500000000.0000;0
A00007-7;0;101000000.0000;0
A00008-8;0;101000000.0000;0
A00009-9;0;.0000;0
A00021-3;0;.0000;0
A00022-4;0;.0000;0
A00026-8;0;101000000.0000;0
A00027-9;0;101000000.0000;0
A00034-2;-5224.99;101000000.0000;0
A00036-4;880;101000000.0000;880
A00043-7;0;101000000.0000;0
A00046-0;0;101000000.0000;0
A00068-4;1029211.24;.0000;1029211.24
A00071-3;0;101000000.0000;0
A00267-5;0;40000000.0000;0
A01618-0;17812782.5;300000000.0000;0
A02470-2;2059899.73;101000000.0000;1099701.87
A06964-9;0;300000000.0000;0
A07861-7;-975;250000000.0000;0
A08909-5;1025.07;101000000.0000;1025.07
A08968-4;498.04;101000000.0000;498.04
A08969-5;-71.23;101000000.0000;0
A08970-6;88.48;101000000.0000;88.48
A09563-9;5408039.76;101000000.0000;192365.38
A09965-1;0;300000000.0000;0
A0A01936;0;.0000;0
A0A03803;-107.01;6500000.0000;0
A0A04116;-50.62;8000000.0000;0
A0A04598;153792;.0000;153792
A0A05198;1.9;4500000.0000;1.9
A0A05574;2.37;3200000.0000;2.37
A0A05801;0;150000000.0000;0
A0A06032;16528396.5;50000000.0000;0
A0A06081;869499.15;240000000.0000;0
A0A06287;-0.14;12000000.0000;0
A0A06390;13786.45;50000000.0000;13786.45
A0A06391;481.2;.0000;481.2
A0A06392;0;.0000;0
A0A06393;0;22000000.0000;0
A0A06394;0;.0000;0
A0A06395;0;.0000;0
A0A06396;0;.0000;0
A0A06397;0;350000000.0000;0
A0A06398;0;420000000.0000;0
A0A06399;-0.02;.0000;0
A0A06400;0;500000000.0000;0
A0A06401;0.01;200000000.0000;0.01
A0A06402;0;.0000;0
A0A06403;-0.84;52000000.0000;0
A0A06404;-0.09;52000000.0000;0
A0A06405;0;250000000.0000;0
A0A06406;0;95000000.0000;0
A0A06407;0;60000000.0000;0
A0A06408;-507409.16;85000000.0000;0
A0A06409;0;16000000.0000;0
A0A06410;0;30000000.0000;0
A0A06411;0;.0000;0
A0A06412;0;.0000;0
AP1485-7;0;500000.0000;0
B00040-4;150;.0000;150
B00105-6;0;220000000.0000;0
B00134-6;1240;101000000.0000;1240
B00151-2;0;101000000.0000;0
B00334-5;2341.35;.0000;2341.35
B00347-4;0;101000000.0000;0
